"X","Y"
-1848176.19108356,-83277.4047078777
-2260855.11655406,138683.100522692
-1864085.3288444,187253.021438819
-1712847.5344024,-66226.7836871797
-2091562.9307102,-106675.548402999
-1490697.10224434,963872.288390625
-1845906.36877801,-31554.5736476283
-1745901.8745592,33767.2212555391
-2030831.54637249,-161299.233576187
-2129394.04664011,-61632.6176598859
-1492494.90925994,676391.663541287
-2148874.05809142,-58804.0423545348
-2143136.44932954,-58107.30526155
-1675168.85631645,447686.666928134
-2485326.47363933,966777.321920256
-2100981.04026959,-232923.597637862
-2032220.41965679,-388868.254065343
-2076314.85310721,-48579.0449327396
-1633052.07691011,813694.916372225
-1810903.86969502,803165.428491947
-2090402.40908503,-112212.941531227
-2096553.36724142,-96916.8073379479
-2093935.531128,-240213.908348613
-1314875.11140888,668379.870619299
-1383681.63740201,729701.641270843
-1582157.3604745,699353.004228475
-1362431.9667284,1259668.91296851
-1359976.42364085,1218074.96073531
-1360192.83546425,1218099.19921755
-1446561.04575503,-329005.589809171
-1741810.85142727,74205.5571624836
-1916366.3778615,-294818.40611106
-1287670.85935503,724868.345195049
-1226941.35128575,703810.074170015
-1227367.51219171,718764.897869249
-1740893.03092629,57417.2115169273
-2094319.88886963,-340993.895617674
-1579954.47287195,898343.154730227
-1849782.76898255,829580.637095999
-2098768.28163294,-231471.600299511
-2126191.94195603,-30799.5672477794
-1082151.88016734,1055970.62140068
-1227752.22796429,683779.729567091
-1409796.48922519,678071.432161053
-1489291.52485316,1161834.7329547
-1607724.36892047,880342.359068662
-1558383.04914748,876678.129049631
-1662637.01222582,989897.84641091
-1809005.18218432,802357.870734155
-2135572.35471565,-350684.949044715
-1292876.68202127,854706.332942286
-1137427.02317435,697487.420050607
-1216106.01354021,657222.804335066
-894965.272728867,1210333.48625998
-1271282.43433559,660389.022638958
-1287788.27669981,725690.1747196
-1777515.99759257,42005.2332670701
-1438063.83509441,1137861.95209589
-2260855.11655406,138683.100522692
